Feature,Importance
cat__Team_Penske-Kranefuss Racing,6.48824968186195e-05
cat__Track_South Boston Speedway,6.411688140333311e-05
cat__Driver_Jason Leffler,6.406585970417844e-05
cat__Track_Lakewood Speedway,6.401834575228524e-05
cat__Team_Jordan Anderson Racing,6.378922882462974e-05
cat__Driver_Rick Mast,6.372370826212291e-05
cat__Driver_Ryan Preece,6.339217024433181e-05
cat__Driver_Cole Custer,6.322338886118665e-05
cat__Team_Jasper Motorsports,6.272163269653051e-05
cat__Driver_Brian Scott,6.270058309245056e-05
cat__Driver_Dave Marcis,6.157584504054216e-05
cat__Driver_Jerry Nadeau,6.153180620356856e-05
cat__Driver_Zane Smith,6.104446445146437e-05
cat__Team_Rusty Wallace Racing,6.026067608369447e-05
cat__Make_-,5.970191186422602e-05
cat__Driver_Stacy Compton,5.941857769711886e-05
cat__Driver_Austin Hill,5.9268934110927554e-05
cat__Track_Eldora Speedway,5.919409482965111e-05
cat__Track_Circuit of the Americas,5.882160150659709e-05
cat__Driver_Bobby Hamilton Jr.,5.8540295999439015e-05
cat__Driver_Randy LaJoie,5.8249655174877585e-05
cat__Driver_Ashton Lewis,5.801557586255314e-05
cat__Driver_Jeb Burton,5.7463095621931904e-05
cat__Team_Xpress Motorsports,5.7072292486353996e-05
cat__Team_Furniture Row Racing,5.700588430010232e-05
cat__Driver_Tony Raines,5.692835739796025e-05
cat__Team_Diamond Ridge Motorsports,5.687644085300903e-05
cat__Driver_Dick Trickle,5.650030416721757e-05
cat__Driver_Donnie Allison,5.6375179580314176e-05
cat__Team_PPI Motorsports,5.6332940867635547e-05
cat__Team_SS Green Light Racing,5.569728024859972e-05
cat__Team_Jack Smith (Owner),5.569179295851518e-05
cat__Team_GMS Racing,5.552179056618619e-05
cat__Team_Donlavey Racing,5.511019487917648e-05
cat__Driver_Jon Wood,5.485742794087439e-05
cat__Team_Jeremy Clements Racing,5.4647705655084144e-05
cat__Team_Bobby Hamilton Racing,5.463226042188179e-05
cat__Driver_Harry Gant,5.462897619107552e-05
cat__Team_TRICON Garage,5.453158511047078e-05
cat__Driver_Scott Riggs,5.440314300412878e-05
cat__Driver_David Gilliland,5.409393532561021e-05
cat__Driver_Benny Parsons,5.385983401423142e-05
cat__Driver_David Reutimann,5.357185529254978e-05
cat__Driver_Sam Mayer,5.336798986687463e-05
cat__Driver_Jack Smith,5.335687546405622e-05
cat__Driver_Sammy Smith,5.33054274004365e-05
cat__Driver_Steve Grissom,5.329662097186033e-05
cat__Make_Lincoln,5.296356607283238e-05
cat__Driver_Tim Fedewa,5.291959619699776e-05
cat__Driver_Carson Hocevar,5.243213526343698e-05
cat__Team_Alpha Prime Racing,5.230923965558237e-05
cat__Driver_David Stremme,5.221763863603189e-05
cat__Driver_Brett Bodine,5.214091601642376e-05
cat__Team_JD Motorsports,5.1981293456569865e-05
cat__Track_Orange County Speedway,5.169901034370443e-05
cat__Driver_Scott Wimmer,5.152116054986429e-05
cat__Driver_Shane van Gisbergen,5.1227140012829234e-05
cat__Driver_Richard Petty,5.0864647377523665e-05
cat__Track_Heidelberg Raceway,5.073043194420062e-05
cat__Driver_Jeremy Clements,5.0713957850790655e-05
cat__Team_FitzBradshaw Racing,5.070795777528771e-05
cat__Team_CJM Racing,5.0641527033061004e-05
cat__Team_Our Motorsports,5.0640308537717513e-05
cat__Team_Braun Racing,5.002337934875515e-05
cat__Team_Gillett Evernham Motorsports,4.985311188373748e-05
cat__Team_Rudd Performance Motorsports,4.974959810277601e-05
cat__Driver_Phil Parsons,4.953099080039108e-05
cat__Driver_Todd Gilliland,4.9446100342194745e-05
cat__Driver_Jim Paschal,4.936500961354621e-05
cat__Team_Innovative Motorsports,4.9080276410361374e-05
cat__Team_Young's Motorsports,4.9034296722463134e-05
cat__Team_DarWal Inc.,4.875454565289116e-05
cat__Driver_Kevin Lepage,4.872010673910486e-05
cat__Driver_David Starr,4.8426462900346635e-05
cat__Driver_Jesse Love,4.788622333985164e-05
cat__Team_Marcis Auto Racing,4.78170623359101e-05
cat__Driver_Mike McLaughlin,4.720974438016285e-05
cat__Driver_Buddy Baker,4.7020985699640055e-05
cat__Team_Haas CNC Racing,4.6765052318562775e-05
cat__Driver_Michael McDowell,4.672318119201621e-05
cat__Team_TriStar Motorsports,4.665352572776707e-05
cat__Driver_Derrike Cope,4.664697021740913e-05
cat__Team_Legacy Motor Club,4.624655605582239e-05
cat__Track_Mid-Ohio Sports Car Course,4.596300585799169e-05
cat__Team_Butch Mock Motorsports,4.585863679656208e-05
cat__Driver_Timmy Hill,4.5710967800532464e-05
cat__Driver_Al Keller,4.565009618030541e-05
cat__Track_Concord Speedway,4.560793242351109e-05
cat__Team_GC Spencer Racing,4.554217553850629e-05
cat__Driver_Chad Little,4.5443863789681863e-05
cat__Driver_Corey LaJoie,4.54024343919984e-05
cat__Driver_Cale Yarborough,4.536799246249337e-05
cat__Team_Owens Racing,4.536591626227545e-05
cat__Driver_Bobby Hillin Jr.,4.5123211005623145e-05
cat__Driver_Bobby Allison,4.46284960729944e-05
cat__Team_Red Horse Racing,4.4333471860650946e-05
cat__Driver_Myatt Snider,4.3953390148099304e-05
cat__Team_Robby Gordon Motorsports,4.381762127951026e-05
cat__Team_Big Machine Racing,4.3612715418325006e-05
cat__Team_Darrell Waltrip Motorsports,4.3371902866201766e-05
cat__Team_Billy Ballew Motorsports,4.3008668028689005e-05
cat__Driver_Ryan Reed,4.2433007703526726e-05
cat__Driver_Dennis Setzer,4.2150073633230794e-05
cat__Driver_Landon Cassill,4.1797699412250283e-05
cat__Driver_Tim Flock,4.172942290511047e-05
cat__Team_Filmar Racing,4.170654583987071e-05
cat__Driver_Joe Weatherly,4.1366587813602565e-05
cat__Team_King Racing,4.130125092172099e-05
cat__Team_Sam Hunt Racing,4.1284609020771585e-05
cat__Driver_Harrison Burton,4.1240940204142485e-05
cat__Driver_Ron Fellows,4.113584115451022e-05
cat__Driver_Ben Rhodes,4.108025298793743e-05
cat__Team_Kyle Busch Motorsports,4.1073963218856426e-05
cat__Team_Spears Racing,4.089448559113056e-05
